county_name,county_id,1a,1a1c,1a_2c,1a3c,2a1w,2a1w1c,2a1w2c,2a1w3c,2a,2a1c,2a2c,2a3c
"Autauga County, Alabama",01001,"$22,131","$41,736","$51,574","$66,398","$34,625","$40,397","$45,776","$50,668","$34,625","$46,245","$57,177","$67,622"
"Baldwin County, Alabama",01003,"$21,715","$43,358","$53,196","$69,767","$36,025","$42,019","$47,398","$54,037","$36,025","$47,867","$58,799","$70,991"
"Barbour County, Alabama",01005,"$20,218","$39,975","$49,813","$62,933","$32,324","$38,636","$44,015","$47,203","$32,324","$44,485","$55,416","$64,157"
"Bibb County, Alabama",01007,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Blount County, Alabama",01009,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Bullock County, Alabama",01011,"$20,578","$39,740","$49,578","$63,238","$32,962","$38,401","$43,780","$47,508","$32,962","$44,249","$55,181","$64,462"
"Butler County, Alabama",01013,"$20,218","$39,740","$49,578","$64,264","$32,324","$38,401","$43,780","$48,534","$32,324","$44,249","$55,181","$65,487"
"Calhoun County, Alabama",01015,"$21,133","$41,306","$51,144","$65,026","$33,502","$39,967","$45,346","$49,296","$33,502","$45,815","$56,747","$66,250"
"Chambers County, Alabama",01017,"$20,551","$40,433","$50,271","$63,501","$32,657","$39,094","$44,473","$47,771","$32,657","$44,942","$55,874","$64,725"
"Cherokee County, Alabama",01019,"$20,578","$39,740","$49,578","$64,430","$32,892","$38,401","$43,780","$48,700","$32,892","$44,249","$55,181","$65,654"
"Chilton County, Alabama",01021,"$19,816","$39,740","$49,578","$63,376","$32,574","$38,401","$43,780","$47,646","$32,574","$44,249","$55,181","$64,600"
"Choctaw County, Alabama",01023,"$21,327","$41,486","$51,324","$64,818","$33,433","$40,147","$45,526","$49,088","$33,433","$45,996","$56,927","$66,042"
"Clarke County, Alabama",01025,"$20,329","$39,740","$49,578","$63,820","$32,421","$38,401","$43,780","$48,090","$32,421","$44,249","$55,181","$65,044"
"Clay County, Alabama",01027,"$20,121","$39,740","$49,578","$63,390","$32,227","$38,401","$43,780","$47,660","$32,227","$44,249","$55,181","$64,614"
"Cleburne County, Alabama",01029,"$20,357","$40,169","$50,007","$63,182","$32,463","$38,830","$44,210","$47,452","$32,463","$44,679","$55,610","$64,406"
"Coffee County, Alabama",01031,"$20,703","$40,183","$50,021","$64,111","$32,809","$38,844","$44,223","$48,381","$32,809","$44,692","$55,624","$65,335"
"Colbert County, Alabama",01033,"$21,147","$40,710","$50,548","$64,638","$33,253","$39,371","$44,750","$48,908","$33,253","$45,219","$56,151","$65,862"
"Conecuh County, Alabama",01035,"$20,287","$39,740","$49,578","$64,430","$32,393","$38,401","$43,780","$48,700","$32,393","$44,249","$55,181","$65,654"
"Coosa County, Alabama",01037,"$20,578","$39,740","$49,578","$62,642","$32,962","$38,401","$43,780","$46,912","$32,962","$44,249","$55,181","$63,866"
"Covington County, Alabama",01039,"$20,315","$39,740","$49,578","$64,208","$32,407","$38,401","$43,780","$48,478","$32,407","$44,249","$55,181","$65,432"
"Crenshaw County, Alabama",01041,"$20,135","$39,864","$49,702","$64,111","$32,241","$38,525","$43,905","$48,381","$32,241","$44,374","$55,306","$65,335"
"Cullman County, Alabama",01043,"$20,703","$39,892","$49,730","$62,947","$32,892","$38,553","$43,932","$47,217","$32,892","$44,401","$55,333","$64,170"
"Dale County, Alabama",01045,"$19,511","$39,740","$49,578","$64,305","$32,490","$38,401","$43,780","$48,575","$32,490","$44,249","$55,181","$65,529"
"Dallas County, Alabama",01047,"$19,289","$39,740","$49,578","$62,905","$32,144","$38,401","$43,780","$47,175","$32,144","$44,249","$55,181","$64,129"
