,puma,above_lw,below_lw,above_pov,below_pov,pct_below_lw,pct_below_pov,code,name_x,flag,Unnamed: 3,Unnamed: 4,Unnamed: 5,state_fips,puma_short,name_y
393,61305,38569.0,3511.0,40374.0,1706.0,0.0834363117871,0.0405418250951,06 01305,Contra Costa County (South)--San Ramon City & Danville Town ,1,,,,6,1305,ca
395,61305,38569.0,3511.0,40374.0,1706.0,0.0834363117871,0.0405418250951,06 01305,Contra Costa County (South)--San Ramon City & Danville Town ,1,,,,6,1305,ca
394,61305,38569.0,3511.0,40374.0,1706.0,0.0834363117871,0.0405418250951,06 01305,Contra Costa County (South)--San Ramon City & Danville Town ,1,,,,6,1305,ca
5918,482003,38871.0,3904.0,41496.0,1279.0,0.091268264173,0.0299006428989,48 02003,Denton County (South Central)--Flower Mound Town & Highland Village City ,1,,,,48,2003,tx
5917,482003,38871.0,3904.0,41496.0,1279.0,0.091268264173,0.0299006428989,48 02003,Denton County (South Central)--Flower Mound Town & Highland Village City ,1,,,,48,2003,tx
5916,482003,38871.0,3904.0,41496.0,1279.0,0.091268264173,0.0299006428989,48 02003,Denton County (South Central)--Flower Mound Town & Highland Village City ,1,,,,48,2003,tx
2213,173009,36246.0,3951.0,39509.0,688.0,0.0982909172326,0.0171157051521,17 03009,Kane County (West) ,1,,,,17,3009,il
2212,173009,36246.0,3951.0,39509.0,688.0,0.0982909172326,0.0171157051521,17 03009,Kane County (West) ,1,,,,17,3009,il
2211,173009,36246.0,3951.0,39509.0,688.0,0.0982909172326,0.0171157051521,17 03009,Kane County (West) ,1,,,,17,3009,il
1224,8822,30687.0,3720.0,33468.0,939.0,0.108117534223,0.0272909582352,08 00822,Douglas County (South)--Castle Rock Town ,1,,,,8,822,co
1225,8822,30687.0,3720.0,33468.0,939.0,0.108117534223,0.0272909582352,08 00822,Douglas County (South)--Castle Rock Town ,1,,,,8,822,co
1226,8822,30687.0,3720.0,33468.0,939.0,0.108117534223,0.0272909582352,08 00822,Douglas County (South)--Castle Rock Town ,1,,,,8,822,co
6793,5110702,32657.0,4219.0,36114.0,762.0,0.114410456666,0.0206638464042,51 10702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport ,1,,,,51,10702,va
6792,5110702,32657.0,4219.0,36114.0,762.0,0.114410456666,0.0206638464042,51 10702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport ,1,,,,51,10702,va
6791,5110702,32657.0,4219.0,36114.0,762.0,0.114410456666,0.0206638464042,51 10702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport ,1,,,,51,10702,va
2967,241004,62102.0,8089.0,68173.0,2018.0,0.115242694932,0.0287501246599,24 01004,"Montgomery County (South)--Bethesda, Potomac & North Bethesda ",1,,,,24,1004,md
2968,241004,62102.0,8089.0,68173.0,2018.0,0.115242694932,0.0287501246599,24 01004,"Montgomery County (South)--Bethesda, Potomac & North Bethesda ",1,,,,24,1004,md
2969,241004,62102.0,8089.0,68173.0,2018.0,0.115242694932,0.0287501246599,24 01004,"Montgomery County (South)--Bethesda, Potomac & North Bethesda ",1,,,,24,1004,md
1038,68507,42422.0,5570.0,46267.0,1725.0,0.116061010168,0.0359434905818,06 08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town ",1,,,,6,8507,ca
1039,68507,42422.0,5570.0,46267.0,1725.0,0.116061010168,0.0359434905818,06 08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town ",1,,,,6,8507,ca
1040,68507,42422.0,5570.0,46267.0,1725.0,0.116061010168,0.0359434905818,06 08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town ",1,,,,6,8507,ca
3668,291806,36119.0,4841.0,39013.0,1947.0,0.118188476563,0.0475341796875,29 01806,St. Louis County (Central West) ,1,,,,29,1806,mo
3666,291806,36119.0,4841.0,39013.0,1947.0,0.118188476563,0.0475341796875,29 01806,St. Louis County (Central West) ,1,,,,29,1806,mo
3667,291806,36119.0,4841.0,39013.0,1947.0,0.118188476563,0.0475341796875,29 01806,St. Louis County (Central West) ,1,,,,29,1806,mo
7058,5311609,41879.0,5676.0,45504.0,2051.0,0.119356534539,0.0431290085165,53 11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities ",1,,,,53,11609,wa
7059,5311609,41879.0,5676.0,45504.0,2051.0,0.119356534539,0.0431290085165,53 11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities ",1,,,,53,11609,wa
7060,5311609,41879.0,5676.0,45504.0,2051.0,0.119356534539,0.0431290085165,53 11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities ",1,,,,53,11609,wa
2616,20604,46594.0,6321.0,50945.0,1970.0,0.119455730889,0.03722951904,20 00604,Johnson County (Southeast)--Blue Valley Region ,1,,,,20,604,ks
2617,20604,46594.0,6321.0,50945.0,1970.0,0.119455730889,0.03722951904,20 00604,Johnson County (Southeast)--Blue Valley Region ,1,,,,20,604,ks
2618,20604,46594.0,6321.0,50945.0,1970.0,0.119455730889,0.03722951904,20 00604,Johnson County (Southeast)--Blue Valley Region ,1,,,,20,604,ks
5921,482004,36051.0,5023.0,39249.0,1825.0,0.122291473925,0.0444320007791,48 02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities ",1,,,,48,2004,tx
5920,482004,36051.0,5023.0,39249.0,1825.0,0.122291473925,0.0444320007791,48 02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities ",1,,,,48,2004,tx
5919,482004,36051.0,5023.0,39249.0,1825.0,0.122291473925,0.0444320007791,48 02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities ",1,,,,48,2004,tx
1958,133005,44023.0,6321.0,48733.0,1611.0,0.125556173526,0.0319998410933,13 03005,Atlanta Regional Commission (Northwest)--Cobb County (Northeast) ,1,,,,13,3005,ga
1957,133005,44023.0,6321.0,48733.0,1611.0,0.125556173526,0.0319998410933,13 03005,Atlanta Regional Commission (Northwest)--Cobb County (Northeast) ,1,,,,13,3005,ga
